DESCRIPTION,PREDICTED_FAULTTYPE,PREDICTED_SUBFAULTTYPE
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
"Facing frequent disconnection and low wifi strength from last 6 months, issue persist even after change of router, I have talked to CR support Rep in details, call back and resolve this issue once for all, otherwise I would  discontinue services and opt for alternative service provides, enough with usual complaints
 The customer can be contacted within 45 minutes.",INTERNET,internet
